Trials,Precision,Regret,CumulativeRegret
323,94.8,0.427,449.453
324,95.6,0.367,449.820
325,95.0,0.410,450.229
326,95.0,0.450,450.679
327,95.4,0.423,451.102
328,94.2,0.396,451.498
329,94.4,0.366,451.864
330,94.6,0.515,452.379
331,94.2,0.562,452.941
332,95.2,0.435,453.376
333,96.2,0.399,453.776
334,95.6,0.402,454.177
335,95.2,0.434,454.612
336,96.4,0.440,455.051
337,95.8,0.437,455.488
338,94.0,0.392,455.881
339,95.8,0.401,456.281
340,96.4,0.341,456.622
341,96.0,0.437,457.059
342,94.4,0.407,457.465
343,96.0,0.394,457.859
344,95.6,0.500,458.359
345,95.2,0.417,458.776
346,95.6,0.457,459.233
347,95.0,0.454,459.687
348,95.4,0.452,460.139
349,95.6,0.451,460.590
350,95.2,0.342,460.932
351,95.4,0.429,461.360
352,94.8,0.420,461.781
353,94.8,0.342,462.122
354,95.6,0.451,462.573
355,94.6,0.391,462.964
356,95.8,0.372,463.336
357,95.8,0.463,463.799
358,96.2,0.371,464.170
359,96.0,0.338,464.507
360,96.0,0.545,465.052
361,94.8,0.391,465.443
362,97.0,0.340,465.783
363,96.8,0.450,466.234
364,95.2,0.405,466.639
365,95.6,0.356,466.994
366,94.4,0.324,467.318
367,95.4,0.326,467.645
368,96.2,0.357,468.001
369,96.8,0.381,468.382
370,95.6,0.410,468.792
371,96.4,0.416,469.208
372,95.4,0.398,469.606
373,95.8,0.388,469.994
374,97.2,0.341,470.335
375,95.6,0.389,470.724
376,95.8,0.326,471.050
377,95.4,0.360,471.409
378,95.4,0.358,471.767
379,95.4,0.447,472.214
380,95.4,0.426,472.640
381,97.0,0.401,473.041
382,96.6,0.323,473.364
383,96.4,0.306,473.670
384,96.8,0.396,474.066
385,96.2,0.418,474.484
386,96.0,0.372,474.855
387,96.4,0.434,475.289
388,96.8,0.380,475.669
389,96.0,0.396,476.065
390,94.8,0.443,476.508
391,96.4,0.330,476.838
392,96.6,0.318,477.156
393,96.0,0.376,477.532
394,96.2,0.376,477.908
395,96.4,0.411,478.319
396,96.2,0.388,478.707
397,95.6,0.386,479.093
398,96.4,0.342,479.435
399,96.0,0.359,479.794
400,96.8,0.450,480.244
401,96.4,0.353,480.597
402,96.0,0.327,480.924
403,95.6,0.370,481.294
404,96.4,0.388,481.682
405,97.0,0.375,482.057
406,97.0,0.438,482.495
407,97.6,0.357,482.851
408,96.8,0.442,483.294
409,96.4,0.350,483.643
410,96.6,0.390,484.033
411,95.8,0.361,484.395
412,96.2,0.294,484.689
413,96.2,0.345,485.034
414,96.8,0.352,485.386
